"t","i","j","k","v","q"
2021,4,24,382390,52.051,"       13.235"
2021,4,24,481890,0.041,"        0.022"
2021,4,24,690790,3.403,"        1.854"
2021,4,24,732393,0.122,"        1.854"
2021,4,24,841460,0.163,"        1.854"
2021,4,24,851660,0.222,"        1.854"
2021,4,24,860900,1.823,"       13.235"
2021,4,24,940161,0.938,"        1.854"
2021,4,24,940350,2.697,"        1.854"
2021,4,24,940429,0.666,"        1.854"
2021,4,31,81310,1.624,"        0.500"
2021,4,31,761510,67.269,"       26.010"
2021,4,32,842199,0.033,"        0.002"
2021,4,32,852390,0.029,"           NA"
2021,4,32,854140,0.401,"        0.004"
2021,4,36,71310,2.41,"        1.060"
2021,4,36,80212,13.284,"        3.250"
2021,4,36,80420,8.017,"        4.476"
2021,4,36,80940,5.046,"        3.063"
2021,4,36,81320,5.657,"        4.007"
2021,4,36,81350,19.233,"        4.800"
2021,4,36,91020,64.54,"        0.409"
2021,4,36,151590,32.863,"       17.125"
2021,4,36,200570,1.527,"        0.798"
2021,4,36,210390,24.867,"       12.592"
2021,4,36,420221,13.601,"        0.009"
2021,4,36,420231,1.128,"        0.009"
2021,4,36,481840,8.879,"        1.855"
2021,4,36,570110,233.405,"        7.319"
2021,4,36,570210,2.122,"        0.169"
2021,4,36,570299,1.513,"        0.341"
2021,4,36,610220,1.028,"        0.036"
2021,4,36,610339,0.847,"        0.001"
2021,4,36,611030,1.823,"        0.062"
2021,4,36,620442,1.273,"        0.024"
2021,4,36,620449,1.365,"        0.034"
2021,4,36,640359,8.404,"        0.071"
2021,4,36,640399,0.794,"        0.020"
2021,4,36,650100,1.119,"        0.024"
2021,4,36,710399,11.581,"           NA"
2021,4,36,711620,0.868,"        0.001"
2021,4,36,732392,23.058,"        4.035"
2021,4,36,830110,8.463,"        0.579"
2021,4,36,840991,1.34,"        0.048"
2021,4,36,848120,2.135,"        0.033"
2021,4,36,848360,1.346,"        0.046"
2021,4,36,870891,1.568,"        0.103"
2021,4,36,900219,1.504,"        0.002"
2021,4,36,902680,2.151,"        0.012"
2021,4,36,940161,4.762,"        0.763"
2021,4,36,970500,6.01,"        0.012"
2021,4,40,70820,0.144,"        0.044"
2021,4,40,71120,0.271,"        0.097"
2021,4,40,71320,3.479,"        4.433"
2021,4,40,80211,22.598,"        3.773"
2021,4,40,80232,2.733,"        0.220"
2021,4,40,80290,45.52,"        2.092"
2021,4,40,80620,124.918,"       70.049"
2021,4,40,80940,1.162,"        0.250"
2021,4,40,81120,4.112,"        1.075"
2021,4,40,81310,18.687,"       13.352"
2021,4,40,81350,0.732,"        1.012"
2021,4,40,90412,0.172,"        0.012"
2021,4,40,90620,0.117,"        0.003"
2021,4,40,90830,0.047,"        0.003"
2021,4,40,90920,0.058,"        0.004"
2021,4,40,91010,0.039,"        0.002"
2021,4,40,91030,0.105,"        0.005"
2021,4,40,110630,0.059,"        0.003"
2021,4,40,121299,3.362,"        0.700"
2021,4,40,170199,7.578,"        7.988"
2021,4,40,200570,0.287,"        0.150"
2021,4,40,200819,6.211,"        0.603"
2021,4,40,300490,418.627,"        1.970"
2021,4,40,330530,0.039,"        0.006"
2021,4,40,392390,8.201,"        0.298"
2021,4,40,400950,0.085,"        0.004"
